"","event_agediff","Estimate","lower","upper","disease_endpoint","model","N_total","N_male","N_female"
"3320",1.04415345945953,2.18680836059843,1.75393715869908,2.72651205447416,"Colon and rectum cancers","BMR",235839,107667,128172
"3321",1.07757069506907,2.15956319543039,1.73660222043866,2.68553911780643,"Colon and rectum cancers","BMR",235839,107667,128172
"3322",1.1109879306786,2.13332764342985,1.71988866923299,2.64615199555421,"Colon and rectum cancers","BMR",235839,107667,128172
"3323",1.14440516628814,2.1080370954773,1.70374834347581,2.60826102218978,"Colon and rectum cancers","BMR",235839,107667,128172
"3324",1.17782240189767,2.08363277258629,1.68813710459825,2.57178490963199,"Colon and rectum cancers","BMR",235839,107667,128172
"3325",1.21123963750721,2.06006105203038,1.67301442219557,2.53664970354716,"Colon and rectum cancers","BMR",235839,107667,128172
"3326",1.24465687311674,2.03727289191759,1.65834301661215,2.50278790006988,"Colon and rectum cancers","BMR",235839,107667,128172
"3327",1.27807410872627,2.01522332713856,1.64408853767354,2.47013768734748,"Colon and rectum cancers","BMR",235839,107667,128172
"3328",1.31149134433581,1.99387103831612,1.6302192905923,2.43864229823423,"Colon and rectum cancers","BMR",235839,107667,128172
"3329",1.34490857994534,1.97317797139672,1.616705989815,2.40824944753918,"Colon and rectum cancers","BMR",235839,107667,128172
"3330",1.37832581555488,1.95310900825028,1.60352154680668,2.37891084513644,"Colon and rectum cancers","BMR",235839,107667,128172
"3331",1.41174305116441,1.93363167584799,1.59064088132313,2.35058176974087,"Colon and rectum cancers","BMR",235839,107667,128172
"3332",1.44516028677395,1.91471589043951,1.57804075587162,2.3232206946877,"Colon and rectum cancers","BMR",235839,107667,128172
"3333",1.47857752238348,1.89633373254026,1.56569963154742,2.29678895792801,"Colon and rectum cancers","BMR",235839,107667,128172
"3334",1.51199475799302,1.87845924665296,1.55359753873378,2.27125047083424,"Colon and rectum cancers","BMR",235839,107667,128172
"3335",1.54541199360255,1.86106826420039,1.54171596596516,2.24657145704888,"Colon and rectum cancers","BMR",235839,107667,128172
"3336",1.57882922921209,1.84413824552296,1.53003775935762,2.22272022229591,"Colon and rectum cancers","BMR",235839,107667,128172
"3337",1.61224646482162,1.82764813807424,1.51854703435047,2.19966694547265,"Colon and rectum cancers","BMR",235839,107667,128172
"3338",1.64566370043115,1.81157825200306,1.507229099458,2.17738349419516,"Colon and rectum cancers","BMR",235839,107667,128172
"3339",1.67908093604069,1.7959101447071,1.49607038391765,2.15584325612813,"Colon and rectum cancers","BMR",235839,107667,128172
"3340",1.71249817165022,1.78062652089612,1.48505837688018,2.13502099060879,"Colon and rectum cancers","BMR",235839,107667,128172
"3341",1.74591540725976,1.76571113986196,1.47418157038476,2.11489269169124,"Colon and rectum cancers","BMR",235839,107667,128172
"3342",1.77933264286929,1.75114873259059,1.46342940765143,2.09543546659685,"Colon and rectum cancers","BMR",235839,107667,128172
"3343",1.81274987847883,1.73692492809386,1.45279223600225,2.07662742894036,"Colon and rectum cancers","BMR",235839,107667,128172
"3344",1.84616711408836,1.72302618403797,1.4422612620439,2.05844759823416,"Colon and rectum cancers","BMR",235839,107667,128172
"3345",1.8795843496979,1.70943972661898,1.43182851075582,2.04087581507974,"Colon and rectum cancers","BMR",235839,107667,128172
"3346",1.91300158530743,1.69615349258096,1.42148678418685,2.02389266111981,"Colon and rectum cancers","BMR",235839,107667,128172
"3347",1.94641882091696,1.68315608020416,1.41122962471813,2.00747939294009,"Colon and rectum cancers","BMR",235839,107667,128172
"3348",1.9798360565265,1.6704367011567,1.40105127547317,1.99161788110067,"Colon and rectum cancers","BMR",235839,107667,128172
"3349",2.01325329213603,1.65798513940606,1.39094664551112,1.97629055820558,"Colon and rectum cancers","BMR",235839,107667,128172
"3350",2.04667052774557,1.64579170994926,1.38091127004148,1.96148037263563,"Colon and rectum cancers","BMR",235839,107667,128172
"3351",2.0800877633551,1.63384722573977,1.37094127658789,1.94717075242019,"Colon and rectum cancers","BMR",235839,107667,128172
"3352",2.11350499896464,1.62214296247889,1.36103334618528,1.93334557018383,"Colon and rectum cancers","BMR",235839,107667,128172
"3353",2.14692223457417,1.61067063046362,1.35118467820102,1.9199891189501,"Colon and rectum cancers","BMR",235839,107667,128172
"3354",2.18033947018371,1.59942234474291,1.34139295184877,1.90708608788881,"Colon and rectum cancers","BMR",235839,107667,128172
"3355",2.21375670579324,1.58839060164659,1.33165629178887,1.89462154683321,"Colon and rectum cancers","BMR",235839,107667,128172
"3356",2.24717394140277,1.57756825303096,1.32197322942976,1.88258093096536,"Colon and rectum cancers","BMR",235839,107667,128172
"3357",2.28059117701231,1.566948486125,1.31234266883524,1.87095003193689,"Colon and rectum cancers","BMR",235839,107667,128172
"3358",2.31400841262184,1.55652480232223,1.30276385030077,1.85971498954696,"Colon and rectum cancers","BMR",235839,107667,128172
"3359",2.34742564823138,1.54629099898614,1.29323631640371,1.8488622869752,"Colon and rectum cancers","BMR",235839,107667,128172
"3360",2.38084288384091,1.5362411517762,1.28375987803482,1.83837874729613,"Colon and rectum cancers","BMR",235839,107667,128172
"3361",2.41426011945045,1.5263695983964,1.27433458195127,1.82825153135322,"Colon and rectum cancers","BMR",235839,107667,128172
"3362",2.44767735505998,1.5166709239234,1.26496068006912,1.81846813716689,"Colon and rectum cancers","BMR",235839,107667,128172
"3363",2.48109459066952,1.507139946772,1.2556385998006,1.80901639971616,"Colon and rectum cancers","BMR",235839,107667,128172
"3364",2.51451182627905,1.49777170591235,1.24636891660632,1.79988449097383,"Colon and rectum cancers","BMR",235839,107667,128172
"3365",2.54792906188859,1.48856144819448,1.23715232731799,1.79106091959952,"Colon and rectum cancers","BMR",235839,107667,128172
"3366",2.58134629749812,1.47950461765099,1.22798962640682,1.78253453170901,"Colon and rectum cancers","BMR",235839,107667,128172
"3367",2.61476353310765,1.47059684461203,1.2188816835308,1.77429450996276,"Colon and rectum cancers","BMR",235839,107667,128172
"3368",2.64818076871719,1.46183393617328,1.20982942349047,1.76633037307238,"Colon and rectum cancers","BMR",235839,107667,128172
"3369",2.68159800432672,1.45321186646995,1.20083380713352,1.75863197413651,"Colon and rectum cancers","BMR",235839,107667,128172
"3370",2.71501523993626,1.44472676846403,1.19189581541201,1.75118949871892,"Colon and rectum cancers","BMR",235839,107667,128172
"3371",2.74843247554579,1.43637492591577,1.18301643457271,1.74399346239406,"Colon and rectum cancers","BMR",235839,107667,128172
"3372",2.78184971115533,1.42815276576537,1.17419664334514,1.73703470702543,"Colon and rectum cancers","BMR",235839,107667,128172
