cohort,endpoint_name,input_name,decile,predicted_risk,observed_risk,observed_risk_se,observed_risk_ci_lower,observed_risk_ci_upper,decile_n,decile_n_events,n,n_events,overall_predicted_risk,overall_observed_risk,follow_up_time,n_female,n_male,n_total
UK Biobank,Depressive disorders,Age + sex + biomarkers,6,0.751514432247181,0.8541905855338803,0.09202896634831681,0.6738171259567307,1.0345640451110298,21775,186,217751,1779,0.7698218044135519,0.8169882113055844,3,243663,171929,415592
UK Biobank,Depressive disorders,Age + sex + biomarkers,7,0.8279045710099546,0.8541905855338743,0.09202896634831705,0.6738171259567243,1.0345640451110243,21775,186,217751,1779,0.7698218044135519,0.8169882113055844,3,243663,171929,415592
UK Biobank,Depressive disorders,Age + sex + biomarkers,8,0.9221951489757305,1.024110218140062,0.10068111802633374,0.8267788528852216,1.2214415833949026,21775,223,217751,1779,0.7698218044135519,0.8169882113055844,3,243663,171929,415592
UK Biobank,Depressive disorders,Age + sex + biomarkers,9,1.0588904561156989,1.079219288174527,0.10332575550798186,0.8767045287034916,1.2817340476455625,21775,235,217751,1779,0.7698218044135519,0.8169882113055844,3,243663,171929,415592
UK Biobank,Depressive disorders,Age + sex + biomarkers,10,1.4185628225066078,1.5752009184844835,0.12451745029516531,1.3311512004592032,1.8192506365097638,21775,343,217751,1779,0.7698218044135519,0.8169882113055844,3,243663,171929,415592
UK Biobank,Type 2 diabetes,Age + sex + biomarkers,1,0.04193663116560119,0.026380583890254144,0.016240315321814275,-0.005449849238075847,0.05821101701858414,22744,6,227431,1205,0.5141596764663148,0.529831025673707,3,243663,171929,415592
UK Biobank,Type 2 diabetes,Age + sex + biomarkers,2,0.07980184025450282,0.06595435958316957,0.025673674845551095,0.015634881535097504,0.11627383763124163,22743,15,227431,1205,0.5141596764663148,0.529831025673707,3,243663,171929,415592
UK Biobank,Type 2 diabetes,Age + sex + biomarkers,3,0.11687646053299156,0.0967330607219794,0.031087575855238272,0.035802531679055435,0.15766358976490336,22743,22,227431,1205,0.5141596764663148,0.529831025673707,3,243663,171929,415592
UK Biobank,Type 2 diabetes,Age + sex + biomarkers,4,0.16004370389193978,0.10552697533307294,0.03246848490324439,0.04188991429013149,0.1691640363760144,22743,24,227431,1205,0.5141596764663148,0.529831025673707,3,243663,171929,415592
UK Biobank,Type 2 diabetes,Age + sex + biomarkers,5,0.2138051345580287,0.14949654838852564,0.03863672087145314,0.0737699669997505,0.22522312977730077,22743,34,227431,1205,0.5141596764663148,0.529831025673707,3,243663,171929,415592
